"","url","is_listing_deleted","brand","modele","address_particulier","address_pro","name_pro","V1","Année","Carrosserie","Energie","Kilométrage","Prix","Garantie mécanique","Nb de portes","Transmission","Consommation mixte","Emissions de CO2","Nombre de places","Puissance fiscale","Autres informations","Etat du véhicule","Puissance réelle","Contrôle technique","Couleur intérieur","Option equipement Sécurité","Option/Equipement Confort intérieur","Option/equipement extérieurs","Type de peinture carrosserie"
"28","https://www.paruvendu.fr/a/voiture-occasion/renault/scenic-xmod/1230025391A1KVVOREXMO",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","https://www.paruvendu.fr/a/voiture-occasion/renault/kadjar/1230030306A1KVVOREKAD",0,"Renault occasion","Kadjar","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
",NA,"Juin 2015
Assurance auto : Comparez","Berline","Diesel","58 258
km","14 490 €","6 mois","4 portes avec hayon","Manuelle","3.9
litres / 100 km","103
g/km","5
places","5
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","https://www.paruvendu.fr/a/voiture-occasion/jeep/cherokee/1230058490A1KVVOJECHE",0,"Jeep occasion","Cherokee","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
",NA,"Novembre 2014
Assurance auto : Comparez","4x4 - SUV","Diesel","81 857
km","14 500 €","6 mois","4 portes avec hayon","Manuelle","5.6
litres / 100 km","147
g/km","5
places","8
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","https://www.paruvendu.fr/a/voiture-occasion/peugeot/2008/1230031435A1KVVOPE2M8",0,"Peugeot occasion","2008","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
",NA,"Février 2017
Assurance auto : Comparez","4x4 - SUV","Essence","33 635
km","15 490 €","6 mois","4 portes avec hayon","Manuelle","4.4
litres / 100 km","103
g/km","5
places","5
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","https://www.paruvendu.fr/a/voiture-occasion/audi/a1/1230058408A1KVVOAUA1",0,"Audi occasion","A1","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
",NA,"Novembre 2015
Assurance auto : Comparez","Berline","Essence","41 605
km","15 990 €","6 mois","4 portes","Manuelle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","https://www.paruvendu.fr/a/voiture-occasion/bmw/serie-1/1230053328A1KVVOBMS1",0,"BMW occasion","Série 1","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
","","Mai 2011
Assurance auto : Comparez","Cabriolet","Diesel","45 925
km","14 990 €","6 mois","2 portes avec hayon","Manuelle",NA,NA,NA,"8
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-c/1230053251A1KVVOMEC",0,"Mercedes occasion","Classe C","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
","","Juin 2011
Assurance auto : Comparez","Coupé","Diesel","70 485
km","16 990 €","6 mois","2 portes avec hayon","Automatique",NA,NA,NA,"11
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","https://www.paruvendu.fr/a/voiture-occasion/volkswagen/passat/1230058299A1KVVOVWPAS",0,"Volkswagen occasion","Passat","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
",NA,"Septembre 2013
Assurance auto : Comparez","Berline","Diesel","73 629
km","17 990 €","6 mois","4 portes","Semi automatique","5.1
litres / 100 km","133
g/km","5
places","10
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","https://www.paruvendu.fr/a/voiture-occasion/hyundai/veloster/1230053302A1KVVOHYVEL",0,"Hyundai occasion","Veloster","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
",NA,"Septembre 2015
Assurance auto : Comparez","Coupé","Essence","17 336
km","18 990 €","6 mois","2 portes avec hayon","Automatique","7.1
litres / 100 km","165
g/km","4
places","11
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","https://www.paruvendu.fr/a/voiture-occasion/peugeot/508/1230053470A1KVVOPE508",0,"Peugeot occasion","508","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
",NA,"Juin 2018
Assurance auto : Comparez","Berline","Diesel","13 504
km","20 530 €","6 mois","4 portes","Automatique","3.8
litres / 100 km","99
g/km","5
places","6
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","https://www.paruvendu.fr/a/voiture-occasion/mazda/cx-5/1230053298A1KVVOMACX5",0,"Mazda occasion","CX-5","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
",NA,"Mars 2017
Assurance auto : Comparez","4x4 - SUV","Diesel","19 710
km","22 990 €","6 mois","4 portes avec hayon","Manuelle","4.6
litres / 100 km","119
g/km","5
places","8
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","https://www.paruvendu.fr/a/voiture-occasion/mitsubishi/outlander/1230030479A1KVVOMIOUT",0,"Mitsubishi occasion","Outlander","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
",NA,"Juillet 2015
Assurance auto : Comparez","4x4 - SUV","Hybride","43 264
km","20 990 €","6 mois","4 portes avec hayon","Automatique","1.9
litres / 100 km","44
g/km","5
places","5
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","https://www.paruvendu.fr/a/voiture-occasion/peugeot/107/1230005880A1KVVOPE107",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","https://www.paruvendu.fr/a/voiture-occasion/renault/clio/1230025376A1KVVORECLI",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","https://www.paruvendu.fr/a/voiture-occasion/renault/twingo/1230025146A1KVVORETWI",0,"Renault occasion","Twingo","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
","","Mars 2013
Assurance auto : Comparez","Berline","Diesel","59 400
km","5 490 €","6 mois","2 portes avec hayon","Manuelle",NA,NA,NA,"4
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","https://www.paruvendu.fr/a/voiture-occasion/peugeot/308/1229943560A1KVVOPE308",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","https://www.paruvendu.fr/a/voiture-occasion/dacia/sandero/1230006616A1KVVODCSAN",0,"Dacia occasion","Sandero","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
",NA,"Juin 2012
Assurance auto : Comparez","Berline","GPL ou GNL","64 439
km","5 590 €","6 mois","4 portes avec hayon","Manuelle","6.0
litres / 100 km","139
g/km","5
places","4
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","https://www.paruvendu.fr/a/voiture-occasion/peugeot/207/1230025300A1KVVOPE207",0,"Peugeot occasion","207","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
","","Avril 2012
Assurance auto : Comparez","Berline","Diesel","30 250
km","5 710 €","6 mois","4 portes avec hayon","Manuelle",NA,NA,NA,"4
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","https://www.paruvendu.fr/a/voiture-occasion/peugeot/108/1230005763A1KVVOPE108",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","https://www.paruvendu.fr/a/voiture-occasion/smart/fortwo/1230025018A1KVVOSMFTW",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","https://www.paruvendu.fr/a/voiture-occasion/volkswagen/polo/1229943654A1KVVOVWPOL",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","https://www.paruvendu.fr/a/voiture-occasion/smart/fortwo/1229943617A1KVVOSMFTW",0,"Smart occasion","ForTwo","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
",NA,"Juillet 2015
Assurance auto : Comparez","Coupé","Essence","56 916
km","7 950 €","6 mois","2 portes avec hayon","Manuelle","4.1
litres / 100 km","93
g/km","2
places","4
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","https://www.paruvendu.fr/a/voiture-occasion/peugeot/5008/1229943475A1KVVOPE5M8",0,"Peugeot occasion","5008","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
","","Juillet 2012
Assurance auto : Comparez","Monospace","Diesel","116 836
km","7 950 €","6 mois","4 portes avec hayon","Semi automatique",NA,NA,NA,"6
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","https://www.paruvendu.fr/a/voiture-occasion/citroen/c3-picasso/1230005749A1KVVOCI3PI",0,"Citroën occasion","C3 Picasso","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
","","Août 2014
Assurance auto : Comparez","Monospace","Diesel","78 259
km","7 990 €","6 mois","4 portes avec hayon","Manuelle",NA,NA,NA,"5
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
