url,brand,modele,name_pro,carrosserie,energie,etat_vehicule,transmission,controle_technique,couleur_interieur,type_peinture_carrosserie,Marque,all_city,code_region,nom_region,numero_departement,nom_departement,nom_commune,latitude,longitude,is_pro,date,pneus_hiver,barres_de_toit,premiere_main,non_fumeur,stationne_dans_garage,sous_garantie_constructeur,attelage,sous_garantie_autre_que_constructeur,cons_mixte_l_by_100km,emissions_co2_g_by_km,kilometrage_km,nb_portes,hayon,nb_places,prix_euros,puissance_fiscale_cv,puissance_reelle_ch,garantie_mecanique_mois,abs,esp,regulateur_vitesse,asr,alarme_antivol,direction_assistee,banquette_ar,radio_cd,fermeture_centralisee,vitres_electriques,allumage_auto_feux,peinture_metallisee,retroviseurs_electriques,roues_alliage_léger,fap,postal_codes
https://www.paruvendu.fr/a/voiture-occasion/volkswagen/golf/1228492062A1KVVOVWGOL,Volkswagen,Golf,VOLKSWAGEN Automotors Nancy,Berline,Essence,NA,Manuelle,NA,NA,NA,NA,LAXOU,NA,NA,NA,NA,NA,NA,NA,1,2017-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13010,4,1,5,20288,6,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54523
https://www.paruvendu.fr/a/voiture-occasion/nissan/juke/1229637306A1KVVONIJUK,Nissan,Juke,NISSAN Sand Automobiles Roncq,4x4 - SUV,Essence,NA,Manuelle,NA,NA,NA,NA,RONCQ,31,Nord-Pas-de-Calais,59,Nord,Roncq,5075,3116667,1,2018-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,1,5,20990,6,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59223
https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-gla/1229347107A1KVVOMEGLA,Mercedes,Classe GLA,MERCEDES Techstar 86,4x4 - SUV,Diesel,NA,Manuelle,NA,NA,NA,NA,000 POITIERS,NA,NA,NA,NA,NA,NA,NA,1,2015-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61745,4,1,5,21490,5,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19458
https://www.paruvendu.fr/a/voiture-occasion/volkswagen/passat/1228492061A1KVVOVWPAS,Volkswagen,Passat,VOLKSWAGEN Automotors Nancy,Break,Diesel,NA,Automatique,NA,NA,NA,NA,LAXOU,NA,NA,NA,NA,NA,NA,NA,1,2017-09-01,NA,NA,NA,NA,NA,NA,NA,NA,4.0,104,23631,4,1,5,25898,6,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54523
https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-gla/1229904294A1KVVOMEGLA,Mercedes,Classe GLA,MERCEDES Techstar 60 Beauvais,4x4 - SUV,Diesel,NA,Manuelle,NA,NA,NA,NA,BEAUVAIS,22,Picardie,60,Oise,Beauvais,49433333,2083333,1,2017-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55387,4,1,5,26900,5,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60000
https://www.paruvendu.fr/a/voiture-occasion/nissan/x-trail/1229903952A1KVVONIXTR,Nissan,X-Trail,NISSAN Sand Automobiles Roncq,4x4 - SUV,Diesel,NA,Manuelle,NA,NA,NA,NA,RONCQ,31,Nord-Pas-de-Calais,59,Nord,Roncq,5075,3116667,1,2018-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,1,5,30990,7,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59223
https://www.paruvendu.fr/a/voiture-occasion/nissan/x-trail/1229637308A1KVVONIXTR,Nissan,X-Trail,NISSAN Sand Automobiles Roncq,4x4 - SUV,Diesel,NA,Automatique,NA,NA,NA,NA,RONCQ,31,Nord-Pas-de-Calais,59,Nord,Roncq,5075,3116667,1,2018-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9900,4,1,7,30990,7,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59223
https://www.paruvendu.fr/a/voiture-occasion/nissan/x-trail/1229590386A1KVVONIXTR,Nissan,X-Trail,NISSAN Sand Automobiles Roncq,4x4 - SUV,Diesel,NA,Automatique,NA,NA,NA,NA,RONCQ,31,Nord-Pas-de-Calais,59,Nord,Roncq,5075,3116667,1,2018-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,1,7,30990,7,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59223
https://www.paruvendu.fr/a/voiture-occasion/nissan/x-trail/1228113801A1KVVONIXTR,Nissan,X-Trail,NISSAN Sand Automobiles Roncq,4x4 - SUV,Diesel,NA,Manuelle,NA,NA,NA,NA,RONCQ,31,Nord-Pas-de-Calais,59,Nord,Roncq,5075,3116667,1,2018-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,1,5,31990,7,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59223
https://www.paruvendu.fr/a/voiture-occasion/porsche/911/1229618803A1KVVOPO911,Porsche,911,DKL NEGOCES - FLAUBERT OCCASIONS,Berline,Essence,NA,Manuelle,NA,NA,NA,NA,FRANCE,NA,NA,NA,NA,NA,NA,NA,1,2005-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86150,2,0,NA,45900,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63000
https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-glc/1227337705A1KVVOMEGLC,Mercedes,Classe GLC,MERCEDES Techstar 60 Beauvais,4x4 - SUV,Diesel,NA,Automatique,NA,NA,NA,NA,BEAUVAIS,22,Picardie,60,Oise,Beauvais,49433333,2083333,1,2018-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000,4,1,5,58900,11,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60000
